,text,sentiment
100,Since 2011~ I've had several pairs of Dragons~ various Anasazis~ as well as a couple pairs of Quantums~ HiAngles and Arrowheads,1
101,Before 2012 or so~ I had absolutely no issues with sizing in 5.10~ and I could find them in a store and actually try them on,2
102,Since about that time frame~ the sizing seems to be all over the place~ and since it seems like no store carries the brand any longer~ it is basically a complete lottery whether the pair I ordered will fit or not,0
103,I have had size 7 fit perfectly~ but then I wasn't able to get an 8 on my feet at all~ and I have (somewhat) comfortably worn 5.10 anywhere from size 6.5 to 8.5,0
104,This is really unfortunate~ and I have started to drift to Sportiva as result,0
105,Though they don't fit quite as well~ the sizing is more consistent than 5.10~ and they have better rubber than Boreal,2
106,As for 5.10 quality issues~ I have had none outside of a pair of Anasazi Pinks literally splitting in apart at the heel after three days of use,0
107,Customer service was completely unresponsive when I tried to warranty them~ so that wasn't that great either,0
108,I did have the same thing happen on a pair of VXs~ but that was after a resole~ and they were a super light weight shoe that 5.10 made for only 1 year in the late 90s.,0
109,Second this comment,1
110,Guide Tennis were my favorite and only approach shoe,2
111,My last purchase (maybe 2.5 years ago) the sole came off within the first season,0
112,Send them back~ got a new pair~ happened again,0
113,I switched to Sportivas as well and have been very  happy!,2
114,I know a few sponsored climbers and apparently a former rep who all feel that the rubber is not the same,0
115,The new Adidas factory has only been producing shoes for about the past 9 months and not all retailers have the new stock,0
116,There is a very stark difference between the new and old Hiangle construction,0
117,You can tell if you have the new ones as the toe hook rubber is thinner and inside the shoe there is a horizontal seam near the midsole,0
118,Also~ the label is different,1
119,I loved my old Five Tens so much that I stockpiled many of them,2
120,The Teams never changed nor did the old Dragons,2
121,The new Hiangles feel uber stiff and insensitive and the heel fits differently (better for me~ doesn't bag out),2
122,I loved that the Hiangle had some stiffness~ but you could still microadjust and pull with the toes,2
123,The newest ones I have feel a lot like an Instinct VS or Solution when new~ but both of those shoes break in quicker and better,2
124,I don't feel that the rubber is as sticky,0
125,The Aleon is a love/hate,0
126,Most people I know like the heel for its fit~ but not for heel hooking,2
127,The stretchiness of the upper means you have to really crank the velcro for it not to move during heel hooks~ but it won't pull off,2
128,The main issue is the toebox can be love/hate,0
129,It is one of the only toeboxes that pushes the big toe inwards and it is almost diamond shaped rather than a talon like the Dragon or Solution and for some it just never gets comfortable,0
130,You can see my other posts about the Dragons~ but almost no sponsored climbers are wearing the shoe and very few normal people I have met seem to like it,0
131,While the build quality is higher~ the design isn't there,0
132,They feel more like an Evolv than a Five Ten,1
133,Let's be honest- no one ever bought Five Ten for durability,0
134,They were designed to perform and be comfortable on granite for the most part and they don't do that very well anymore.,0
135,I generally like 5.10 shoes and have owned many different pairs over the years~ but my experience with them lately (like last 6 months) has been awful,0
136,I've sent at least 5 pairs of shoes back due to sizing issues,0
137,And just to add insult to injury~ I got a pair of Hiangles from the recent sale that fit but one of the shoes they sent has exposed stitching and is delaminating on the side,0
138,I would've been done with them long ago but I'm trying to use a gift certificate..,0
139,super frustrating.,0
140,Interesting to find this thread because I have been wondering about this,1
141,Have been using 5.10 products for over 30 years and they have ALWAYS had quality and sizing issues,0
142,They have also pretty much been the high-performance standard even with said issues,2
143,Sad to hear people think they are getting worse,0
144,I found this thread while searching for 5.10's new website to buy some new shoes,1
145,Yikes,0
146,Pic up some Acopa’s instead.,2
147,Been climbing in 5.10 shoes for about 10 years,2
148,Love my pinks~ quantums and mocs,2
149,"I bought a pair of quantum velcros and loved them~ so I bought another pair~ which are 1/4"" smaller",2
150,I haven't been able to break them in,0
151,Concerned about size issues~ too.,0
152,I was just thinking about this,1
153,A factor two falls puts a much higher shock on the climber and the anchor system than a factor one fall,1
154,"But a ""soft"" catch~ such as was required before modern climbing ropes were invented~ would reduce these forces to something safer",1
155,"A soft catch is tricky to practice~ however~ which is why in the pre-modern-rope era there was the saying~ ""the leader must not fall."" But~ what if there was a device like a Grigri that had a ""soft catch"" mode that would gradually (but obviously very quickly) slow the fall~ thus reducing peak forces on the anchor to something safe? Ideally this mode could be quickly shut off by flicking a switch in the device after pro is placed above the anchor",1
156,Any thoughts on this?,1
157,1/10 Soft catches are overrated in the outdoors unless you are climbing some bad ass overhang route.,1
158,Is this a troll comment?,1
159,Right~ because we all know that in less than overhanging terrain the best policy is to spike your climber into next week,1
160,To get the precision required to do a soft catch correctly in different circumstances you need a computer,1
161,Our brains are that computer,1
162,I think that building a purely mechanical device that could perform a soft catch and was also simple and reliable enough to use for everyday belaying would be very challenging,0
163,Plus it would probably do the wrong thing most of the time.,0
164,Right~ because we all know that in less than overhanging terrain the best policy is to spike your climber into next week Next week doesn't help much~ but if someone could spike me into next year~ that would be great,1
165,I think I have had enough of 2020.,1
166,Even with our brains computing the forces there isn’t much you can do to soften a FF2 fall when using a Grigri,1
167,The OP had the idea that the soft catch feature could be turned off,1
168,You are only in  FF2 territory until the first clip is made~ then shift into normal belay mode,1
169,I agree it would be a challenge to make the device but the concept is interesting,1
170,Right~ because we all know that in less than overhanging terrain the best policy is to spike your climber into next week Can you explain how spiking happens on a less than overhanging route?,1
171,Better to just install autobelays on all outdoor routes and slowly lower everyone when they fall,1
172,thats what the rope is for,1
173,you can also modify your belay geometry to eliminate factor 2 fall,1
174,Who is taking factor 2 falls routinely? Who is even taking factor 1 falls routinely? Most lead falls are like factor 0.5 or less~ unless you've done something really~ really wrong,1
175,What you're talking about could only happen in those first few feet between leaving an anchor and placing your first piece on a multipitch,1
176,And that's only if the multipitch is actually steep and vertical,1
177,The follower should be connected to the anchor with their rope~ which will help to absorb the shock,1
178,Can you explain how spiking happens on a less than overhanging route? Climber falls~ and the belayer~ a sadist~ sits back into their harness as hard they possibly can - just as the climber's weight comes onto the rope.,1
179,I don't think they can make it,1
180,It is either locked or open,1
181,Any engineers out there?,1
182,Trango Cinch?,1
183,I think the answer is similar to the answer to the question “Why aren’t Yates Screamer dogbones more popular?” The market doesn’t demand a supply,1
184,As a moot/academic discussion~ though~ I’d be curious to hear your design constraints/requirements/ideas you would suggest for the device~ though..,1
185,What kind of impact/force reduction is already offered by an ATC~ pilot~ megajul~ gri-gri~ cinch~ revo~ whatever..,1
186,Have you considered the impact-reduction provided by dynamic rope stretch in a factor 2 fall? How does that compare to the potential reduction of maximum force you’d be looking to achieve via the device?,1
187,Is this a troll comment?   Dear RRG climbers..,1
188,The RRG is basically a gym.,1
189,Climber falls~ and the belayer~ a sadist~ sits back into their harness as hard they possibly can - just as the climber's weight comes onto the rope,1
190,I'll make this easy for you~ Artem,1
191,"In a less than OVERHANGING fall gravity~ not the sadistic belayer~ is what ""slams"" you into the wall",1
192,!/  instead of /! where the climber is !,1
193,Best bet in any less than overhanging fall is to put the brakes on it ASAP,1
194," In an overhanging situation where you're run out a bit it's the pendulum of you swinging back into the wall that ""spikes"" you and where a ""soft catch"" can be helpful",1
195,Sounds complex~ I'm trying to think of what sort of mechanism could give you a reliable soft catch,1
196,Hmm...,1
197,I guess you could have a mechanism that releases the GriGri a little~ just like the lever does~ when the device is pulled away from the belayer using a spring or something,1
198,If the spring is set so it takes~ say~ a few kN to pull it there you go,1
199,Maybe it could even be a thing you put on a regular GriGri rather than a new device,1
200,"Though~ I feel like most of the chill trad routes I do have a place to get a bomber ""Jesus piece"" in coming off the belay~ so it's not hard to minimize the chance of a factor two fall",1
201,How many routes out there have belays where you can't really avoid being in a factor two situation?,1
202,That's not what spiking is.,1
203,I'll make this easy for you~ Artem,1
204,"In an overhanging situation where you're run out a bit it's the pendulum of you swinging back into the wall that ""spikes"" you and where a ""soft catch"" can be helpful",1
205,A good belayer can give you a soft catch by moving with the pull of the rope and will decrease the force on the climber as they fall,1
206,A bad belayer will sit back and mess you up by increasing the speed of the swing you take into the wall,1
207,It blows my mind how many people don't understand what a soft catch is and how to give one,1
208,Normally it's either noobs who are in their first few seasons or crusty trad dads that catch one fall per season that deal most of the worst spikes I've seen.,1
209,The mountain project like count may agree with you,1
210,The laws of physics do not.,1
211,I'm seconding this because the original quote has 12 misinformed likes and counting,1
212," Besides that~ the ""soft catch"" proposal for Grigris isn't about spiking the faller~ it is about reducing the maximum impact load to the gear and team",1
213,That happens because some fall energy is dissipated by friction when the rope is allowed to run under tension,1
214,Spiking is a result of penduluming into the wall on a very short fall on overhanging ground,1
215,Lengthening the fall puts the overhanging wall further away and allows the leader to hit with reduced impact as their pendulum crosses the vertical and starts ascending,1
216,On less than vertical ground~ the pendulum never crosses the vertical (obviously) so there is no impact reduction~ and meanwhile adding length to the fall risks smacking the falling leader into features or ledges.,1
217,"""Right~ because we all know that in less than overhanging terrain the best policy is to spike your climber into next week"" Now~ I suppose you're correct that 90 degrees is 1 degree LESS THAN OVERHANGING",1
218,So~ yeah~ for all those exactly VERTICAL climbs with no obstacles sticking out of the face you are correct,1
219,"In most of the real world of climbing~ though~ ""less than overhanging"" means ""less than vertical."" Don't go soft-catching anyone on slab",1
220,Or blocky alpine terrain,1
221,Or a 5.9 Royal Robbins classic like The Open Book,1
222,You'll break your climber's legs or worse,1
223,On less than vertical ground~ the pendulum never crosses the vertical (obviously) so there is no impact reduction~ and meanwhile adding length to the fall risks smacking the falling leader into features or ledges,1
224,Most of the ledge falls I've seen are belayers giving their climbers hard catches and swinging them straight into a ledge that they would have otherwise fallen right past,1
225,Even a small feature can ruin your talus bones/ankles with a bad belay.,1
226,Most of the ledge falls I've seen are belayers giving their climbers hard catches and swinging them straight into a ledge that they would have otherwise fallen past,1
227,"  Note above~ ""small jump."" ",1
228,Don't go soft-catching anyone on slab,1
229,Way to make a strawman by moving the goal posts to slab lol,1
230," Note above~ ""small jump.""  If you are above a huge ledge that you won't fall past - then this is a special situation where a tight belay would be warranted",1
231,This is relatively rare and a good belayer will know when to do it,1
232,Hard catches should never be a one size fits all policy,1
233,How about a Munter?,1
234,Spiking is a result of penduluming into the wall on a very short fall on overhanging ground,1
235,For the people liking Artem's posts: Read the bold part and take the time to understand it.,1
236,For the people liking Artem's posts: Read the bold part and take the time to understand it,1
237,A soft catch will reduce the speed of the climber before they come in contact with the wall - a hard catch won't do this and more deceleration will occur when the climber comes into contact with the wall (this rapid deceleration is what causes the injury),1
238,You will always have flight time before you touch the wall on a vertical wall (less than overhanging) - the only time you wouldn't is if you are on a slab (less than vertical).,1
239,Artem~ This youtube video demonstrates your point pretty well.youtube.com/watch?v=_0GGsBg…  Even when the climbers tie-in is only .5 m from the vertical point of the pendulum the speed at impact was substantially lower using a soft catch,1
240,It also appeared to be lower well before the vertical point of the pendulum~ although they don't put numbers on the screen for that.,1
241,Soft Catches are stupid~ just don't keep people too tight or too loose,1
242,They'll be fine.,1
243,I think you missed a crucial point,1
244,"The discussion here has been about ""less than overhanging"" climbs",1
245,Nobody has disputed that a soft catch on overhanging climbs is a nice feature and can keep a climber from swinging back into the wall/rock.,1
246,This video also doesn't represent the technique in a soft catch~ because the belayer is static~ they are just adding slack to the system,1
247,That is not how a soft catch works.,1
248,No~ I didn't miss that point,1
249,I looked up the video because I essentially agree with you from a physics perspective~ but it doesn't align with my personal experience,1
250,The portion of the video where the climber is 0.5 m from the pendulum point models a vertical~ not overhanging~ route pretty well (IMO),1
251,My ass is often 1.5 feet from the wall when climbing~ and if I fall doing something dynamic I would imagine it could end up out even farther than that,1
252,The video concludes - through mathematical analysis and empirical modeling - that climber speed as they impact the wall is lower with a soft catch in that situation,1
253,The data shown when demonstrating this convinced me that the same would be true on a slightly slabby route,1
254,That is not how a soft catch works,1
255,It's pretty clear here that you haven't actually watched the video.,1
256,It's pretty clear here that you haven't actually watched the video,1
257,That is why I went back to finish it,1
258,Their early examples were terrible,0
259,But I agree that a soft catch is a good thing in most circumstances,2
260,A soft catch will reduce the speed of the climber before they come in contact with the wall - a hard catch won't do this and more deceleration will occur when the climber comes into contact with the wall (this rapid deceleration is what causes the injury),1
261,You will always have flight time before you touch the wall on a vertical wall (less than overhanging) - the only time you wouldn't is if you are on a slab (less than vertical),1
262,"Any physics professor would tell you that your first paragraph is gibberish (and the rest isn't even relevant to a fall on a dynamic rope.) The force of the rope catching the climber is not a material ""impact."" The static rope analogy is irrelevant because we don't climb on static ropes",1
263,The dynamic properties of the rope are more than adequate to eliminate any risk of injury due to the forces of the rope catching the fall,1
264,"The dynamic rope will make the ""catch"" part of the catch soft enough",1
265,On a high fall factor fall you may feel the rope catching you hard~ but it can't hurt you,1
266,Dynamic ropes are specifically engineered to eliminate that risk.,1
267,That is why I went back to finish it,1
268,When would a soft catch be bad then?,1
269,When would a soft catch be bad then? That catch should match the terrain~ the gear~ the belayer/climber weight ratio~ and a number of other factors that most gumbies cannot understand,1
270,But hopefully with a good in person tutor~ they can move beyond gumbyland and figure these things out,1
271,That catch should match the terrain~ the gear~ the belayer/climber weight ratio~ and a number of other factors that most gumbies cannot understand,1
272,Please speak Gumby,1
273,So when is a soft catch bad?,1
274,Please speak Gumby,1
275," So when is a soft catch bad? You have already stated that for you ""Soft catches are overrated in the outdoors unless you are climbing some bad ass overhang route.""  Stick with your gym climbing and trolling",1
276,TRE Sirius was designed to slip a bit and mimic the behavior of a Munter,1
277,By far my favorite belay devices~ but out of production a very long time at this point.,1
278,Artem~ I figured out the disconnect,1
279,"You're taking ""less than overhanging"" to ONLY mean plumb vertical",1
280,"The rest of us are taking ""less than overhanging"" to mean~ well~ all climbs that are LESS THAN OVERHANGING",1
281,That means everything from some 5.2 beginner trad route to big portions of even El Cap,1
282,Here's what's missing in the video~ IMO: She's falling into empty space,1
283,Put an 85 degree angle of granite under her and redo it,1
284,Then let's talk,1
285,Artem~ I figured out the disconnect,1
286,Even plumb vertical isn't going to change the parameters much,1
287,"Once again~ rgold nailed it: ""on less than vertical ground~ [or even plumb vertical] the pendulum never crosses the vertical""",1
288,Haha~ especially at the end when they say if you are doing trad climbing~ forget everything we said,1
289,(But~ actually~  some of it should be relevant...),1
290,Even plumb vertical isn't going to change the parameters much,1
291,"Once again~ rgold nailed it: ""on less than vertical ground~ [or even plumb vertical] the pendulum never crosses the vertical"" No need to make it personal",1
292,"I'll be the first to admit I'm not versed in the physics~ but in my experience~ on a vertical wall I much prefer a moderately soft catch if there is nothing to hit (I suppose we could debate ad nauseam what constitutes a ""feature~"" but I'm thinking of climbing in the 5.10/11 and up range~ so fairly small holds",1
293,A ledge~ even a small one~ would change the calculus,1
294,"We could also debate ad nauseam what constitutes a ""moderately"" soft catch)",1
295,Most of my partners agree~ and that's the kind of catch I will give them~ or anyone in such a scenario unless they explicitly request otherwise,1
296,"The alternative--a hard lock-off--results in~ not necessarily a ""spike~"" but at the least~ uncomfortable impacts on vertical walls.",1
297,When would a soft catch be bad then? When the extra length of the fall would cause the leader to hit a ledge or the ground or other feature.,1
298,So a munter then..,1
299,Well at least it’s free.,1
300,Grigris kill.,0
301,Figuring out a “send” mode for climbing shoes sounds just as possible and far more useful.,1
302,"(But~ actually~  some of it should be relevant...) If this post from a Mathematics University Professeur (also with his long-time practical experience in climbing which is many more years than most of us have been alive) does not end this discussion on ""soft-catch"" (and he even acknowledges that under ideal circumstances it might just be better) then there is no way that you are open to changing your mind.",1
303,Didn’t someone ask years ago~ “Why can’t belay devices have an idiot mode?”  And thus the Gri Gri was born,2
304,Don’t push your luck,1
305,Lol,1
306,As someone who's climbed a lot of steep stuff in the Red but also a lot of vert and slab in NC~ I almost always give and prefer to receive a soft catch,1
307,I don't know what people are talking about when they say you should give a hard catch on slab,1
308,I've taken plenty of slab falls~ and the ones that suck the most are when I get a hard catch,1
309,On everything but very low angle friction slab you're usually falling slightly away from the wall~ and a hard catch increases the impact into the wall,1
310,On vertical terrain I couldn't imagine thinking a hard catch is better~ you're falling away from the wall and you're going to swing back in so it'd be dumb to make that swing fast and short with a hard catch,1
311,Honestly~ I sometimes prefer a hard catch on really steep stuff because I'm not gonna hit anything but air anyway~ and it makes it less work to boink back up,1
312,The Grigri 7,1
313,No need to make it personal,1
314,"The alternative--a hard lock-off--results in~ not necessarily a ""spike~"" but at the least~ uncomfortable impacts on vertical walls",1
315,"I think the folks screaming ""I wouldn't let person X belay me"" are the ones making it personal",1
316,"And phrases like ""spike into next week"" are the spray.",1
317,There are many ways a climber can get spiked on a 'vertical' route,1
318,Admittedly~ probably not as hard as on an overhung route~ but it can still happen,1
319,Climber could fall while doing a move that requires lots of outward force such as a layback or pulling on an undercling with smeared feet,1
320,Another scenario is anytime you're not directly above your last pro such as on a traverse,1
321,Traversing out of a corner would essentially be the same as a roof.,1
322,Traversing out of a corner would essentially be the same as a roof,1
323,Injuries are caused by kinetic energy,1
324,Counterpressure moves are very unlikely to contribute enough energy into the system to cause injury.,1
325,You can absolutely spike somebody on a vertical wall - since you fall out and then back in,1
326,A hard catch will swing you into the wall violently~ while a soft catch will absorb most of the speed of a fall before you touch the wall,1
327,Why are you pushing off the wall when you fall? Don't blame your belayer just because you don't know how to fall properly,1
328,Why are you pushing off the wall when you fall? Don't blame your belayer just because you don't know how to fall properly This response is amusing,1
329,"Have you ever fallen off of a vertical wall? You don't need to ""push"" to fall outwards - you will always come off the wall and then come back into the wall~ no matter what you do",1
330,"And generally~ to ""push"" off the wall~ you have to fall intentionally~ which is something I don't do - since this is a mistake newer/less practiced climbers will make when they are scared and unwilling to keep climbing",1
331,I typically fall when either going for the next move and missing~ or from a spontaneous foot slip,1
332," You don't need to ""push"" to fall outwards",1
333,If you are moving outwards~ something needs to push,1
334,What is this mysterious force that causes some climbers to fall horizontally outwards?,1
335,What is this mysterious force that causes some climbers to fall horizontally outwards? You're telling me that on a perfectly vertical wall~ you'll fall down~ flush with the wall and scrape it the entire way? Lol,1
336,Your responses have been pretty absurd so far~ but now I am dying to see you demonstrate this master falling technique,1
337,This response is amusing,1
338,So~ you fall when you miss whatever move you were trying (aka a mistake; something you are claiming you don't do),1
339,Have you thought that maybe you missed that move because you were incorrectly pushing off the wall with your feet our pulling out on a hold with your hand? So~again~ don't blame your belayer because you made a mistake.,1
340,You're telling me that on a perfectly vertical wall~ you'll fall down~ flush with the wall and scrape it the entire way? Lol,1
341,Your responses have been pretty absurd so far~ but now I am dying to see you demonstrate this Only our hands and feet are in contact with the wall,1
342,Our center of gravity (basically our hips) is always away from the rock (at most by about the length of our arms which can be about two feet~ but rarely does one fall just as their arms are completely extended horizontally.) On a plumb vertical wall our center of gravity is typically about a foot from the wall,1
343,I have inadvertently done it,1
344,Lightweight climber (~100lbs)~ heavier belayer (~160lbs),1
345,Climber was approximately .5m above the bolt~ with about 10m of rope in service,1
346,Granite slab climb~ just less than vertical with a short crux of almost vertical terrain,1
347,Climber fell and I gave an unintentional hard catch,1
348,The climber fell out slightly from the wall then the rope came tight and she accelerated into the wall and twisted her ankle.,1
349,"What is this mysterious force that causes some climbers to fall horizontally outwards? My impression is that the ""mysterious force"" you are asking about depends on the mechanics of falling",1
350,If your hand pops off and your feet stay on~ you will tilt back slightly as you fall,1
351,Have you thought that maybe you missed that move because you were incorrectly pushing off the wall with your feet our pulling out on a hold with your hand? So~again~ don't blame your belayer because you made a mistake,1
352,This response is so blatantly obtuse and disingenuous - but yes~ please continue giving me lessons on technique despite you at best being a 5.10 sport climber :),1
353,Only our hands and feet are in contact with the wall,1
354,There absolutely can be and often is an outward component to climbing a vertical face,1
355,Are you only pulling straight down when you climb or are you exerting an outward component to your pull? If you are pulling out some~ what are our feet doing? Now~ what are your feet doing when hands~ that have some outward pull~ pop off the holds,1
356,I don’t know much about the physics~ but anyone who has actually taken or even caught enough falls on vertical terrain can attest to the potential for spiking~ especially if you’re a lighter climber,1
357,If your physics model doesn’t come up with this then I question whether the model is correct.,1
358,If your physics model doesn’t come up with this then I question whether the model is correct.,1
359,Our center of gravity (basically our hips) is always away from the rock (at most by about the length of our arms which can be about two feet~ but rarely does one fall just as their arms are completely extended horizontally.)  Would you do this little experiment next time you are climbing a vertical wall,1
360,He’s not the one modeling what forces the climber is applying.,1
361,Would you do this little experiment next time you are climbing a vertical wall Dude~ you're right! A force that no one can explain pushed me away from the wall just as I fell!,1
362,This response is so blatantly obtuse and disingenuous - but yes~ please continue giving me lessons on technique despite you being a 5.10 sport climber :)  You are right about my abilities,1
363,I don't chase grades but have been pushing into the 11's lately with a new gym opening with a great setter,1
364,But~ I still don't see why I need to climb at such an elite level as you to know how to fall properly,1
365,But~ what does my tick list have to do with physics or this discussion? If anything~ it will tell the average climber that I spend more time on low angle/vertical terrain than you do where the types of falls in question happen~ since generally~ the higher in grades you get in sport~ the more overhanging it is~ right? I'm not the one blaming everyone else for my mistakes,1
366,Look at your post history~ you have a tendency to do just that.,1
367,There's really only one expert for physics questions:,1
